Date,Coeff Var,Mean Flow,Median Flow,Peak Flow,R-B index,Skew,Tqmean,Station
1969-10-31,139.26300842487078,1298.0,540.0,6800.0,0.040339801462224815,1.66814809737651,11,Wildcat
1969-11-30,88.04690927532039,1675.8333333333333,1135.0,5540.0,0.03718476781989655,1.66814809737651,20,Wildcat
1969-12-31,32.11664983442299,552.1935483870968,522.0,880.0,0.004214976182285324,1.66814809737651,0,Wildcat
1970-01-31,115.90401647447395,428.7741935483871,277.0,2330.0,0.009062198791913445,1.66814809737651,3,Wildcat
1970-02-28,43.67353386882017,588.6071428571429,501.0,1210.0,0.0075683616449564416,1.66814809737651,5,Wildcat
1970-03-31,72.60561231882113,886.6774193548387,730.0,2990.0,0.020442634484083816,1.66814809737651,11,Wildcat
1970-04-30,88.90652218825299,2097.633333333333,1330.0,6980.0,0.06237544900343706,1.66814809737651,19,Wildcat
1970-05-31,66.32438982484793,1481.1290322580646,1070.0,4430.0,0.03858562755106784,1.66814809737651,20,Wildcat
1970-06-30,32.28252943093299,353.3,330.5,610.0,0.0017882656302784052,1.66814809737651,0,Wildcat
1970-07-31,132.4525706525798,511.48387096774195,264.0,3650.0,0.01823287123557688,1.66814809737651,4,Wildcat
1970-08-31,97.90794170035441,489.0967741935484,292.0,2360.0,0.017907450280326913,1.66814809737651,5,Wildcat
1970-09-30,71.55019101025252,243.56666666666666,175.0,784.0,0.0038182725415996455,1.66814809737651,0,Wildcat
1970-10-31,47.26058267569173,450.2258064516129,402.0,1040.0,0.010949569204734652,1.66814809737651,5,Wildcat
1970-11-30,37.87938054865819,603.4333333333333,519.5,1240.0,0.01417939643172327,1.66814809737651,9,Wildcat
1970-12-31,16.776106852304345,439.5483870967742,406.0,620.0,0.004321599810759419,1.66814809737651,1,Wildcat
1971-01-31,46.1978302522712,298.7096774193548,260.0,780.0,0.00504944819993995,1.66814809737651,2,Wildcat
1971-02-28,96.47234883536653,1812.142857142857,1000.0,6120.0,0.08070019015039168,1.66814809737651,15,Wildcat
1971-03-31,56.984785674963426,1169.0645161290322,924.0,3030.0,0.03558268812606334,1.66814809737651,26,Wildcat
1971-04-30,24.568080492283766,309.6333333333333,270.5,474.0,0.0019378963361931713,1.66814809737651,0,Wildcat
1971-05-31,110.52909444473356,745.9677419354839,462.0,4110.0,0.04087778515735173,1.66814809737651,12,Wildcat
1971-06-30,123.99406859008235,721.4333333333333,418.0,4760.0,0.053938114690709936,1.66814809737651,9,Wildcat
1971-07-31,59.521702531545806,263.93548387096774,201.0,847.0,0.008279275426928573,1.66814809737651,2,Wildcat
1971-08-31,52.390320605570714,176.5483870967742,145.0,594.0,0.005313293241017894,1.66814809737651,0,Wildcat
1971-09-30,114.91498957519059,339.56666666666666,228.5,2150.0,0.02350495391809886,1.66814809737651,2,Wildcat
1971-10-31,27.93113434109275,185.61290322580646,172.0,317.0,0.0020018724738729,1.66814809737651,0,Wildcat
1971-11-30,9.762134265501082,137.76666666666668,135.5,165.0,0.000742139034990904,1.66814809737651,0,Wildcat
1971-12-31,92.80396159869642,1460.6129032258063,1100.0,5460.0,0.050811785929043896,1.66814809737651,23,Wildcat
1972-01-31,37.84257853183716,728.4516129032259,667.0,1660.0,0.009742953485008794,1.66814809737651,12,Wildcat
1972-02-29,19.208489707889274,298.2758620689655,275.0,430.0,0.0025270785601741548,1.66814809737651,0,Wildcat
1972-03-31,38.960905143265684,386.258064516129,335.0,886.0,0.006702086362148626,1.66814809737651,1,Wildcat
1972-04-30,90.22714236914786,2838.9,2035.0,10500.0,0.09406136538359071,1.66814809737651,26,Wildcat
1972-05-31,35.90655932173095,644.2903225806451,649.0,1240.0,0.008635453694330057,1.66814809737651,11,Wildcat
1972-06-30,85.23249698369582,616.9333333333333,409.5,2500.0,0.02212716076634419,1.66814809737651,7,Wildcat
1972-07-31,56.33916240563348,428.4193548387097,343.0,987.0,0.014504060832565821,1.66814809737651,6,Wildcat
1972-08-31,21.046434636724207,159.83870967741936,153.0,250.0,0.0022530579934082837,1.66814809737651,0,Wildcat
1972-09-30,161.07511517416268,749.9333333333333,228.0,4410.0,0.024874978116413073,1.66814809737651,7,Wildcat
1972-10-31,62.343513635503086,1082.032258064516,827.0,3500.0,0.018236266522353058,1.66814809737651,10,Wildcat
1972-11-30,63.27291100287859,2244.733333333333,1795.0,5520.0,0.03721835541619387,1.66814809737651,22,Wildcat
1972-12-31,73.8446534831944,1646.8064516129032,1240.0,6020.0,0.034762598827148834,1.66814809737651,16,Wildcat
1973-01-31,70.77291902923952,1380.6129032258063,1090.0,4630.0,0.024052771480480146,1.66814809737651,12,Wildcat
1973-02-28,76.39521017902231,1014.7142857142857,686.0,3250.0,0.011955896430739712,1.66814809737651,7,Wildcat
1973-03-31,55.023962182157945,2752.6129032258063,2630.0,4970.0,0.04160688339476515,1.66814809737651,25,Wildcat
1973-04-30,51.57527983537777,1390.6666666666667,1160.0,3470.0,0.01704249595823395,1.66814809737651,14,Wildcat
1973-05-31,22.334487751077184,503.48387096774195,479.0,837.0,0.0030242187624351107,1.66814809737651,0,Wildcat
1973-06-30,74.17998226950766,1127.3333333333333,758.0,3240.0,0.025501213098278006,1.66814809737651,9,Wildcat
1973-07-31,60.61401801105413,350.3225806451613,320.0,1140.0,0.005702812523449066,1.66814809737651,0,Wildcat
1973-08-31,140.99463727201058,782.0967741935484,301.0,4150.0,0.018547783793370822,1.66814809737651,5,Wildcat
1973-09-30,15.926037646012983,168.4,160.5,245.0,0.000713988489777913,1.66814809737651,0,Wildcat
